#node time(s) x y
2 1.984 204.020 190.748
0 1.996 304.610 302.856
1 1.997 307.068 199.808
2 1.998 203.407 189.958
0 2.010 305.329 303.551
1 2.011 307.819 199.147
2 2.013 202.794 189.168
0 2.024 306.047 304.247
1 2.026 308.570 198.487
2 2.027 202.181 188.377
0 2.038 306.766 304.942
1 2.040 309.321 197.827
2 2.041 201.568 187.587
0 2.053 307.484 305.638
1 2.054 310.071 197.166
2 2.056 200.955 186.797
0 2.067 308.203 306.333
1 2.068 310.822 196.506
2 2.069 200.342 186.007
0 2.080 308.922 307.028
1 2.082 311.573 195.845
2 2.083 199.729 185.217
0 2.094 309.640 307.724
1 2.096 312.324 195.185
2 2.097 199.116 184.427
0 2.108 310.359 308.419
1 2.109 313.075 194.524
2 2.111 198.503 183.637
0 2.122 311.077 309.115
1 2.123 313.826 193.864
2 2.125 197.889 182.847
0 2.137 311.796 309.810
1 2.138 314.577 193.204
2 2.140 197.276 182.057
0 2.151 312.514 310.506
1 2.153 315.328 192.543
2 2.154 196.663 181.267
0 2.166 313.233 311.201
1 2.168 316.079 191.883
2 2.169 196.050 180.477
0 2.180 313.951 311.897
1 2.182 316.829 191.222
2 2.184 195.437 179.687
0 2.195 314.670 312.592
1 2.196 317.580 190.562
2 2.198 194.824 178.897
0 2.209 315.389 313.288
1 2.211 318.331 189.901
2 2.212 194.211 178.107
0 2.223 316.107 313.983
1 2.225 319.082 189.241
2 2.226 193.598 177.317
0 2.238 316.826 314.679
1 2.239 319.833 188.581
2 2.241 192.985 176.527
0 2.252 317.544 315.374
1 2.254 320.584 187.920
2 2.255 192.372 175.737
0 2.267 318.263 316.070
1 2.268 321.335 187.260
2 2.270 191.759 174.947
0 2.281 318.981 316.765
1 2.283 322.086 186.599
2 2.284 191.146 174.157
0 2.295 319.700 317.461
1 2.297 322.837 185.939
2 2.298 190.533 173.367
0 2.309 320.418 318.156
1 2.311 323.588 185.278
2 2.312 189.920 172.577
0 2.323 321.137 318.851
1 2.325 324.338 184.618
2 2.326 189.307 171.787
0 2.337 321.856 319.547
1 2.339 325.089 183.958
2 2.340 188.693 170.997
0 2.351 322.574 320.242
1 2.351 325.840 183.297
2 2.352 188.080 170.207
0 2.363 323.293 320.938
1 2.364 326.591 182.637
2 2.365 187.467 169.417
