#node time(s) x y
1 17.105 241.024 160.426
2 17.107 495.988 137.865
0 17.117 74.223 416.582
1 17.119 241.578 161.259
2 17.120 496.000 138.865
0 17.131 74.517 415.626
1 17.132 242.132 162.092
2 17.132 496.012 139.865
0 17.143 74.811 414.670
1 17.145 242.685 162.925
2 17.146 496.024 140.865
0 17.156 75.105 413.714
1 17.157 243.239 163.758
2 17.158 496.036 141.865
0 17.168 75.399 412.758
1 17.169 243.792 164.590
2 17.170 496.047 142.865
0 17.181 75.693 411.803
1 17.182 244.346 165.423
2 17.184 496.059 143.865
0 17.194 75.987 410.847
1 17.195 244.899 166.256
2 17.196 496.071 144.865
0 17.206 76.281 409.891
1 17.208 245.453 167.089
2 17.209 496.083 145.865
0 17.219 76.575 408.935
1 17.220 246.007 167.922
2 17.220 496.095 146.865
0 17.230 76.869 407.979
1 17.232 246.560 168.754
2 17.233 496.106 147.865
0 17.243 77.163 407.024
1 17.244 247.114 169.587
2 17.245 496.118 148.864
0 17.256 77.457 406.068
1 17.257 247.667 170.420
2 17.258 496.130 149.864
0 17.268 77.751 405.112
1 17.269 248.221 171.253
2 17.270 496.142 150.864
0 17.282 78.045 404.156
1 17.283 248.774 172.086
2 17.284 496.154 151.864
0 17.297 78.339 403.201
1 17.298 249.328 172.918
2 17.299 496.165 152.864
0 17.312 78.633 402.245
1 17.313 249.882 173.751
2 17.314 496.177 153.864
0 17.327 78.927 401.289
1 17.328 250.435 174.584
2 17.329 496.189 154.864
0 17.342 79.221 400.333
1 17.343 250.989 175.417
2 17.344 496.201 155.864
0 17.359 79.515 399.377
1 17.360 251.542 176.250
2 17.361 496.213 156.864
0 17.379 79.809 398.422
1 17.382 252.096 177.082
2 17.385 496.224 157.864
0 17.399 80.103 397.466
1 17.400 252.649 177.915
2 17.402 496.236 158.864
0 17.420 80.398 396.510
1 17.424 253.203 178.748
2 17.428 496.248 159.864
0 17.444 80.692 395.554
1 17.447 253.757 179.581
2 17.448 496.260 160.864
0 17.466 80.986 394.598
1 17.467 254.310 180.414
2 17.468 496.272 161.864
0 17.484 81.280 393.643
1 17.485 254.864 181.246
2 17.486 496.283 162.863
0 17.508 81.574 392.687
1 17.511 255.417 182.079
2 17.512 496.295 163.863
0 17.530 81.868 391.731
1 17.531 255.971 182.912
2 17.531 496.307 164.863
0 17.551 82.162 390.775
1 17.552 256.524 183.745
2 17.553 496.319 165.863
0 17.571 82.456 389.819
1 17.572 257.078 184.578
2 17.573 496.331 166.863
0 17.590 82.750 388.864
1 17.592 257.632 185.410
2 17.593 496.342 167.863
0 17.615 83.044 387.908
1 17.618 258.185 186.243
2 17.620 496.354 168.863
0 17.634 83.338 386.952
1 17.635 258.739 187.076
2 17.636 496.366 169.863
0 17.653 83.632 385.996
1 17.654 259.292 187.909
2 17.656 496.378 170.863
0 17.671 83.926 385.040
1 17.672 259.846 188.742
2 17.674 496.390 171.863
0 17.691 84.220 384.085
1 17.695 260.399 189.574
2 17.697 496.401 172.863
0 17.713 84.514 383.129
1 17.715 260.953 190.407
2 17.716 496.413 173.863
0 17.732 84.808 382.173
1 17.732 261.507 191.240
2 17.733 496.425 174.863
0 17.749 85.102 381.217
1 17.750 262.060 192.073
2 17.751 496.437 175.863
0 17.767 85.396 380.261
1 17.768 262.614 192.906
2 17.770 496.449 176.862
0 17.783 85.690 379.306
1 17.784 263.167 193.738
2 17.785 496.460 177.862
0 17.806 85.984 378.350
1 17.809 263.721 194.571
2 17.812 496.472 178.862
0 17.831 86.278 377.394
1 18.051 263.721 194.571
2 18.053 496.484 179.862
0 18.066 86.572 376.438
1 18.067 262.954 195.213
2 18.068 496.496 180.862
0 18.081 86.866 375.482
1 18.082 262.186 195.854
2 18.083 496.508 181.862
0 18.096 87.160 374.527
1 18.097 261.419 196.495
2 18.099 496.519 182.862
0 18.108 87.454 373.571
1 18.109 260.652 197.137
2 18.111 496.531 183.862
0 18.124 87.748 372.615
1 18.125 259.885 197.778
2 18.127 496.543 184.862
0 18.137 88.042 371.659
1 18.138 259.117 198.419
2 18.139 496.555 185.862
0 18.150 88.336 370.703
1 18.151 258.350 199.061
2 18.152 496.567 186.862
0 18.163 88.630 369.748
1 18.164 257.583 199.702
2 18.166 496.579 187.862
0 18.177 88.924 368.792
1 18.178 256.816 200.343
2 18.180 496.590 188.862
0 18.190 89.218 367.836
1 18.192 256.048 200.985
2 18.193 496.602 189.862
0 18.204 89.512 366.880
1 18.205 255.281 201.626
2 18.207 496.614 190.862
0 18.218 89.806 365.924
1 18.219 254.514 202.267
2 18.221 496.626 191.861
0 18.231 90.100 364.969
1 18.233 253.747 202.909
2 18.234 496.638 192.861
0 18.244 90.394 364.013
1 18.246 252.979 203.550
2 18.247 496.649 193.861
0 18.257 90.688 363.057
1 18.259 252.212 204.191
2 18.260 496.661 194.861
0 18.270 90.982 362.101
1 18.272 251.445 204.833
2 18.273 496.673 195.861
0 18.283 91.276 361.145
1 18.284 250.678 205.474
2 18.286 496.685 196.861
0 18.297 91.570 360.190
1 18.298 249.910 206.115
2 18.300 496.697 197.861
0 18.310 91.864 359.234
1 18.311 249.143 206.757
2 18.312 496.708 198.861
0 18.323 92.159 358.278
1 18.325 248.376 207.398
2 18.326 496.720 199.861
0 18.337 92.453 357.322
1 18.339 247.609 208.039
2 18.340 496.732 200.861
0 18.351 92.747 356.366
1 18.352 246.841 208.681
2 18.354 496.744 201.861
0 18.364 93.041 355.411
1 18.366 246.074 209.322
2 18.367 496.756 202.861
0 18.378 93.335 354.455
1 18.380 245.307 209.964
2 18.381 496.767 203.861
0 18.391 93.629 353.499
1 18.393 244.540 210.605
2 18.394 496.779 204.861
0 18.404 93.923 352.543
1 18.406 243.772 211.246
2 18.407 496.791 205.860
0 18.417 94.217 351.587
1 18.418 243.005 211.888
2 18.420 496.803 206.860
0 18.430 94.511 350.632
1 18.431 242.238 212.529
2 18.432 496.815 207.860
0 18.443 94.805 349.676
1 18.444 241.471 213.170
2 18.445 496.826 208.860
0 18.455 95.099 348.720
1 18.456 240.703 213.812
2 18.457 496.838 209.860
0 18.468 95.393 347.764
1 18.469 239.936 214.453
2 18.470 496.850 210.860
0 18.481 95.687 346.808
1 18.482 239.169 215.094
2 18.483 496.862 211.860
0 18.493 95.981 345.853
1 18.494 238.402 215.736
2 18.495 496.874 212.860
0 18.506 96.275 344.897
1 18.507 237.634 216.377
2 18.508 496.885 213.860
0 18.519 96.569 343.941
1 18.520 236.867 217.018
2 18.521 496.897 214.860
0 18.531 96.863 342.985
1 18.532 236.100 217.660
2 18.533 496.909 215.860
0 18.543 97.157 342.029
1 18.544 235.333 218.301
2 18.545 496.921 216.860
0 18.555 97.451 341.074
1 18.556 234.565 218.942
2 18.557 496.933 217.860
0 18.567 97.745 340.118
1 18.568 233.798 219.584
2 18.569 496.944 218.860
0 18.579 98.039 339.162
1 18.580 233.031 220.225
2 18.581 496.956 219.860
0 18.592 98.333 338.206
1 18.593 232.264 220.866
2 18.594 496.968 220.859
0 18.604 98.627 337.250
1 18.605 231.496 221.508
2 18.606 496.980 221.859
0 18.617 98.921 336.295
1 18.618 230.729 222.149
2 18.619 496.992 222.859
0 18.630 99.215 335.339
1 18.631 229.962 222.790
2 18.632 497.003 223.859
0 18.642 99.509 334.383
1 18.643 229.195 223.432
2 18.644 497.015 224.859
0 18.659 99.803 333.427
1 18.660 228.427 224.073
2 18.661 497.027 225.859
0 18.675 100.097 332.471
1 18.676 227.660 224.714
2 18.677 497.039 226.859
0 18.693 100.391 331.516
1 18.695 226.893 225.356
2 18.696 497.051 227.859
0 18.710 100.685 330.560
1 18.711 226.126 225.997
2 18.712 497.062 228.859
0 18.725 100.979 329.604
1 18.726 225.358 226.638
2 18.727 497.074 229.859
0 18.744 101.273 328.648
1 18.747 224.591 227.280
2 18.749 497.086 230.859
0 18.764 101.567 327.692
1 18.767 223.824 227.921
2 18.770 497.098 231.859
0 18.784 101.861 326.737
1 18.786 223.056 228.563
2 18.787 497.110 232.859
0 18.803 102.155 325.781
1 18.805 222.289 229.204
2 18.806 497.121 233.859
0 18.823 102.449 324.825
1 18.824 221.522 229.845
2 18.825 497.133 234.858
0 18.844 102.743 323.869
1 18.845 220.755 230.487
2 18.846 497.145 235.858
0 18.863 103.037 322.913
1 18.864 219.987 231.128
2 18.865 497.157 236.858
0 18.882 103.331 321.958
1 18.883 219.220 231.769
2 18.884 497.169 237.858
0 18.905 103.626 321.002
1 18.906 218.453 232.411
2 18.907 497.180 238.858
0 18.924 103.920 320.046
1 18.927 217.686 233.052
2 18.928 497.192 239.858
0 18.942 104.214 319.090
1 18.943 216.918 233.693
2 18.944 497.204 240.858
0 18.963 104.508 318.135
1 18.966 216.151 234.335
2 18.968 497.216 241.858
0 18.984 104.802 317.179
1 18.986 215.384 234.976
2 18.986 497.228 242.858
0 19.002 105.096 316.223
1 19.003 214.617 235.617
2 19.004 497.240 243.858
0 19.019 105.390 315.267
1 19.021 213.849 236.259
2 19.023 497.251 244.858
0 19.037 105.684 314.311
1 19.038 213.082 236.900
2 19.040 497.263 245.858
0 19.059 105.978 313.356
1 19.063 212.315 237.541
2 19.064 497.275 246.858
0 19.080 106.272 312.400
1 19.081 211.548 238.183
2 19.083 497.287 247.858
0 19.101 106.566 311.444
1 19.102 210.780 238.824
2 19.104 497.299 248.857
0 19.126 106.860 310.488
1 19.128 210.013 239.465
2 19.129 497.310 249.857
0 19.149 107.154 309.532
1 19.150 209.246 240.107
2 19.151 497.322 250.857
0 19.168 107.448 308.577
1 19.171 208.479 240.748
2 19.172 497.334 251.857
0 19.189 107.742 307.621
1 19.191 207.711 241.389
2 19.192 497.346 252.857
0 19.208 108.036 306.665
1 19.210 206.944 242.031
2 19.211 497.358 253.857
0 19.229 108.330 305.709
1 19.232 206.177 242.672
2 19.233 497.369 254.857
0 19.249 108.624 304.753
1 19.250 205.410 243.313
2 19.252 497.381 255.857
0 19.268 108.918 303.798
1 19.269 204.642 243.955
2 19.271 497.393 256.857
0 19.287 109.212 302.842
1 19.290 203.875 244.596
2 19.293 497.405 257.857
0 19.305 109.506 301.886
1 19.306 203.108 245.238
2 19.307 497.417 258.857
0 19.317 109.800 300.930
1 19.319 202.341 245.879
2 19.321 497.428 259.857
0 19.334 110.094 299.974
1 19.335 201.573 246.520
2 19.336 497.440 260.857
0 19.346 110.388 299.019
1 19.348 200.806 247.162
2 19.350 497.452 261.857
0 19.359 110.682 298.063
1 19.360 200.039 247.803
2 19.361 497.464 262.857
0 19.372 110.976 297.107
1 19.373 199.272 248.444
2 19.374 497.476 263.856
0 19.384 111.270 296.151
1 19.386 198.504 249.086
2 19.387 497.487 264.856
0 19.398 111.564 295.195
1 19.399 197.737 249.727
2 19.400 497.499 265.856
0 19.411 111.858 294.240
1 19.412 196.970 250.368
2 19.413 497.511 266.856
0 19.424 112.152 293.284
1 19.425 196.203 251.010
2 19.426 497.523 267.856
0 19.436 112.446 292.328
1 19.437 195.435 251.651
2 19.438 497.535 268.856
0 19.449 112.740 291.372
1 19.450 194.668 252.292
2 19.451 497.546 269.856
0 19.461 113.034 290.416
1 19.462 193.901 252.934
2 19.463 497.558 270.856
0 19.473 113.328 289.461
1 19.475 193.134 253.575
2 19.477 497.570 271.856
0 19.486 113.622 288.505
1 19.487 192.366 254.216
2 19.488 497.582 272.856
0 19.499 113.916 287.549
1 19.500 191.599 254.858
2 19.501 497.594 273.856
0 19.511 114.210 286.593
1 19.512 190.832 255.499
2 19.513 497.605 274.856
0 19.523 114.504 285.637
1 19.524 190.065 256.140
2 19.525 497.617 275.856
0 19.535 114.798 284.682
1 19.536 189.297 256.782
2 19.537 497.629 276.856
0 19.547 115.092 283.726
1 19.549 188.530 257.423
2 19.549 497.641 277.855
0 19.559 115.387 282.770
1 19.560 187.763 258.064
2 19.561 497.653 278.855
0 19.571 115.681 281.814
1 19.572 186.996 258.706
2 19.573 497.664 279.855
0 19.583 115.975 280.858
1 19.584 186.228 259.347
2 19.585 497.676 280.855
0 19.596 116.269 279.903
1 19.597 185.461 259.988
2 19.598 497.688 281.855
0 19.608 116.563 278.947
1 19.609 184.694 260.630
2 19.610 497.700 282.855
0 19.621 116.857 277.991
1 19.622 183.927 261.271
2 19.623 497.712 283.855
0 19.633 117.151 277.035
1 19.634 183.159 261.913
2 19.635 497.723 284.855
0 19.645 117.445 276.079
1 19.646 182.392 262.554
2 19.647 497.735 285.855
0 19.658 117.739 275.124
1 19.659 181.625 263.195
2 19.660 497.747 286.855
0 19.670 118.033 274.168
1 19.671 180.858 263.837
2 19.672 497.759 287.855
0 19.682 118.327 273.212
1 19.683 180.090 264.478
2 19.684 497.771 288.855
0 19.694 118.621 272.256
1 19.695 179.323 265.119
2 19.695 497.782 289.855
0 19.705 118.915 271.300
1 19.706 178.556 265.761
2 19.707 497.794 290.855
0 19.718 119.209 270.345
1 19.719 177.789 266.402
2 19.720 497.806 291.854
0 19.730 119.503 269.389
1 19.731 177.021 267.043
2 19.733 497.818 292.854
0 19.743 119.797 268.433
1 19.744 176.254 267.685
2 19.745 497.830 293.854
0 19.755 120.091 267.477
1 19.756 175.487 268.326
2 19.757 497.841 294.854
0 19.767 120.385 266.521
1 19.768 174.720 268.967
2 19.769 497.853 295.854
0 19.779 120.679 265.566
1 19.781 173.952 269.609
2 19.782 497.865 296.854
0 19.791 120.973 264.610
1 19.793 173.185 270.250
2 19.794 497.877 297.854
0 19.803 121.267 263.654
1 19.804 172.418 270.891
2 19.806 497.889 298.854
0 19.815 121.561 262.698
1 19.816 171.651 271.533
2 19.818 497.900 299.854
0 19.829 121.855 261.742
1 19.830 170.883 272.174
2 19.832 497.912 300.854
0 19.842 122.149 260.787
1 19.843 170.116 272.815
2 19.845 497.924 301.854
0 19.856 122.443 259.831
1 19.857 169.349 273.457
2 19.858 497.936 302.854
0 19.869 122.737 258.875
1 19.870 168.582 274.098
2 19.872 497.948 303.854
0 19.882 123.031 257.919
1 19.884 167.814 274.739
2 19.885 497.960 304.854
0 19.896 123.325 256.963
1 19.897 167.047 275.381
2 19.898 497.971 305.854
0 19.908 123.619 256.008
1 19.910 166.280 276.022
2 19.911 497.983 306.853
0 19.921 123.913 255.052
1 19.922 165.513 276.663
2 19.923 497.995 307.853
0 19.934 124.207 254.096
1 19.935 164.745 277.305
2 19.936 498.007 308.853
0 19.947 124.501 253.140
1 19.948 163.978 277.946
2 19.949 498.019 309.853
0 19.960 124.795 252.184
1 19.961 163.211 278.588
2 19.962 498.030 310.853
0 19.973 125.089 251.229
1 19.974 162.444 279.229
2 19.976 498.042 311.853
0 19.986 125.383 250.273
1 19.988 161.676 279.870
2 19.989 498.054 312.853
0 19.999 125.677 249.317
1 20.001 160.909 280.512
2 20.002 498.066 313.853
0 20.012 125.971 248.361
1 20.013 160.142 281.153
2 20.015 498.078 314.853
0 20.024 126.265 247.405
1 20.026 159.375 281.794
2 20.027 498.089 315.853
0 20.037 126.559 246.450
1 20.039 158.607 282.436
2 20.040 498.101 316.853
0 20.051 126.853 245.494
1 20.052 157.840 283.077
2 20.054 498.113 317.853
0 20.065 127.148 244.538
1 20.066 157.073 283.718
2 20.068 498.125 318.853
0 20.078 127.442 243.582
1 20.079 156.306 284.360
2 20.081 498.137 319.853
0 20.092 127.736 242.626
1 20.093 155.538 285.001
2 20.095 498.148 320.852
0 20.105 128.030 241.671
1 20.106 154.771 285.642
2 20.107 498.160 321.852
0 20.117 128.324 240.715
1 20.118 154.004 286.284
2 20.119 498.172 322.852
0 20.129 128.618 239.759
1 20.130 153.237 286.925
2 20.131 498.184 323.852
0 20.141 128.912 238.803
1 20.142 152.469 287.566
2 20.143 498.196 324.852
0 20.153 129.206 237.848
1 20.154 151.702 288.208
2 20.155 498.207 325.852
0 20.165 129.500 236.892
1 20.167 150.935 288.849
2 20.168 498.219 326.852
0 20.178 129.794 235.936
1 20.179 150.168 289.490
2 20.181 498.231 327.852
0 20.191 130.088 234.980
1 20.192 149.400 290.132
2 20.193 498.243 328.852
0 20.203 130.382 234.024
1 20.205 148.633 290.773
2 20.205 498.255 329.852
0 20.216 130.676 233.069
1 20.217 147.866 291.414
2 20.218 498.266 330.852
0 20.229 130.970 232.113
1 20.230 147.099 292.056
2 20.231 498.278 331.852
0 20.241 131.264 231.157
1 20.243 146.331 292.697
2 20.244 498.290 332.852
0 20.253 131.558 230.201
1 20.255 145.564 293.338
2 20.256 498.302 333.852
0 20.265 131.852 229.245
1 20.266 144.797 293.980
2 20.268 498.314 334.851
0 20.278 132.146 228.290
1 20.279 144.030 294.621
2 20.281 498.325 335.851
0 20.291 132.440 227.334
1 20.293 143.262 295.262
2 20.295 498.337 336.851
0 20.305 132.734 226.378
1 20.306 142.495 295.904
2 20.308 498.349 337.851
0 20.318 133.028 225.422
1 20.320 141.728 296.545
2 20.321 498.361 338.851
0 20.332 133.322 224.466
1 20.334 140.961 297.187
2 20.335 498.373 339.851
0 20.345 133.616 223.511
1 20.347 140.193 297.828
2 20.348 498.384 340.851
0 20.359 133.910 222.555
1 20.360 139.426 298.469
2 20.361 498.396 341.851
0 20.372 134.204 221.599
1 20.374 138.659 299.111
2 20.375 498.408 342.851
0 20.385 134.498 220.643
1 20.387 137.892 299.752
2 20.388 498.420 343.851
0 20.398 134.792 219.687
1 20.400 137.124 300.393
2 20.401 498.432 344.851
0 20.412 135.086 218.732
1 20.413 136.357 301.035
2 20.414 498.443 345.851
0 20.425 135.380 217.776
1 20.426 135.590 301.676
2 20.428 498.455 346.851
0 20.438 135.674 216.820
1 20.440 134.823 302.317
2 20.441 498.467 347.851
0 20.451 135.968 215.864
1 20.453 134.055 302.959
2 20.454 498.479 348.851
0 20.465 136.262 214.908
1 20.466 133.288 303.600
2 20.468 498.491 349.850
0 20.477 136.556 213.953
1 20.479 132.521 304.241
2 20.480 498.502 350.850
0 20.490 136.850 212.997
1 20.492 131.754 304.883
2 20.493 498.514 351.850
0 20.503 137.144 212.041
1 20.505 130.986 305.524
2 20.506 498.526 352.850
0 20.517 137.438 211.085
1 20.519 130.219 306.165
2 20.520 498.538 353.850
0 20.531 137.732 210.129
1 20.532 129.452 306.807
2 20.534 498.550 354.850
0 20.544 138.026 209.174
1 20.545 128.685 307.448
2 20.547 498.561 355.850
0 20.558 138.320 208.218
1 20.559 127.917 308.089
2 20.561 498.573 356.850
0 20.571 138.614 207.262
1 20.572 127.150 308.731
2 20.574 498.585 357.850
0 20.583 138.909 206.306
1 20.585 126.383 309.372
2 20.586 498.597 358.850
0 20.596 139.203 205.350
1 20.597 125.615 310.013
2 20.599 498.609 359.850
0 20.609 139.497 204.395
1 20.611 124.848 310.655
2 20.612 498.620 360.850
0 20.623 139.791 203.439
1 20.625 124.081 311.296
2 20.626 498.632 361.850
0 20.637 140.085 202.483
1 20.638 123.314 311.937
2 20.640 498.644 362.850
0 20.651 140.379 201.527
1 20.652 122.546 312.579
2 20.654 498.656 363.849
0 20.665 140.673 200.571
1 20.666 121.779 313.220
2 20.667 498.668 364.849
0 20.678 140.967 199.616
1 20.680 121.012 313.862
2 20.681 498.680 365.849
0 20.692 141.261 198.660
1 20.694 120.245 314.503
2 20.695 498.691 366.849
0 20.705 141.555 197.704
1 20.706 119.477 315.144
2 20.708 498.703 367.849
0 20.718 141.849 196.748
1 20.719 118.710 315.786
2 20.721 498.715 368.849
0 20.731 142.143 195.792
1 20.734 117.943 316.427
2 20.735 498.727 369.849
0 20.745 142.437 194.837
1 20.747 117.176 317.068
2 20.748 498.739 370.849
0 20.758 142.731 193.881
1 20.760 116.408 317.710
2 20.761 498.750 371.849
0 20.772 143.025 192.925
1 20.773 115.641 318.351
2 20.775 498.762 372.849
0 20.786 143.319 191.969
1 20.787 114.874 318.992
2 20.789 498.774 373.849
0 20.800 143.613 191.013
1 20.801 114.107 319.634
2 20.803 498.786 374.849
0 20.814 143.907 190.058
1 20.815 113.339 320.275
2 20.817 498.798 375.849
0 20.827 144.201 189.102
1 20.829 112.572 320.916
2 20.830 498.809 376.849
0 20.840 144.495 188.146
1 20.842 111.805 321.558
2 20.843 498.821 377.848
0 20.854 144.789 187.190
1 20.855 111.038 322.199
2 20.857 498.833 378.848
0 20.866 145.083 186.234
1 20.868 110.270 322.840
2 20.869 498.845 379.848
0 20.880 145.377 185.279
1 20.882 109.503 323.482
2 20.883 498.857 380.848
0 20.894 145.671 184.323
1 20.895 108.736 324.123
2 20.897 498.868 381.848
0 20.907 145.965 183.367
1 20.909 107.969 324.764
2 20.910 498.880 382.848
0 20.921 146.259 182.411
1 20.923 107.201 325.406
2 20.924 498.892 383.848
0 20.935 146.553 181.455
1 20.936 106.434 326.047
2 20.938 498.904 384.848
0 20.949 146.847 180.500
1 20.950 105.667 326.688
2 20.952 498.916 385.848
0 20.962 147.141 179.544
1 20.963 104.900 327.330
2 20.965 498.927 386.848
0 20.974 147.435 178.588
1 20.976 104.132 327.971
2 20.978 498.939 387.848
0 20.988 147.729 177.632
1 20.989 103.365 328.612
2 20.990 498.951 388.848
0 21.000 148.023 176.676
1 21.001 102.598 329.254
2 21.258 498.951 388.848
0 21.268 148.317 175.721
1 21.270 101.831 329.895
2 21.271 498.113 388.302
0 21.281 148.611 174.765
1 21.282 101.063 330.537
2 21.283 497.275 387.756
0 21.293 148.905 173.809
1 21.295 100.296 331.178
2 21.296 496.437 387.211
0 21.307 149.199 172.853
1 21.309 99.529 331.819
2 21.310 495.599 386.665
0 21.320 149.493 171.897
1 21.322 98.762 332.461
2 21.323 494.761 386.119
0 21.334 149.787 170.942
1 21.336 97.994 333.102
2 21.337 493.923 385.574
0 21.512 149.787 170.942
1 21.513 97.227 333.743
2 21.514 493.085 385.028
0 21.524 149.174 170.152
1 21.526 96.460 334.385
2 21.527 492.247 384.482
0 21.537 148.561 169.362
1 21.539 95.693 335.026
2 21.540 491.409 383.937
0 21.550 147.947 168.572
1 21.552 94.925 335.667
2 21.553 490.571 383.391
0 21.563 147.334 167.783
1 21.565 94.158 336.309
2 21.566 489.733 382.845
0 21.577 146.720 166.993
1 21.578 93.391 336.950
2 21.580 488.895 382.300
0 21.591 146.107 166.203
1 21.592 92.624 337.591
2 21.593 488.057 381.754
0 21.604 145.493 165.414
1 21.605 91.856 338.233
2 21.607 487.219 381.208
0 21.617 144.880 164.624
1 21.618 91.089 338.874
2 21.619 486.381 380.663
0 21.629 144.266 163.834
1 21.631 90.322 339.515
2 21.632 485.543 380.117
0 21.642 143.653 163.044
1 21.644 89.555 340.157
2 21.645 484.705 379.571
0 21.656 143.039 162.255
1 21.657 88.787 340.798
2 21.659 483.867 379.026
0 21.670 142.426 161.465
1 21.671 88.020 341.439
2 21.673 483.029 378.480
0 21.687 141.812 160.675
1 21.689 87.253 342.081
2 21.691 482.191 377.935
0 21.704 141.199 159.885
1 21.707 86.486 342.722
2 21.709 481.353 377.389
0 21.720 140.586 159.096
1 21.721 85.718 343.363
2 21.722 480.515 376.843
0 21.735 139.972 158.306
1 21.736 84.951 344.005
2 21.738 479.677 376.298
0 21.747 139.359 157.516
1 21.749 84.184 344.646
2 21.750 478.839 375.752
0 21.760 138.745 156.727
1 21.761 83.417 345.287
2 21.762 478.001 375.206
0 21.772 138.132 155.937
1 21.773 82.649 345.929
2 21.774 477.163 374.661
0 21.785 137.518 155.147
1 21.786 81.882 346.570
2 21.787 476.325 374.115
0 21.798 136.905 154.357
1 21.799 81.115 347.211
2 21.800 475.487 373.569
0 21.810 136.291 153.568
1 21.811 80.348 347.853
2 21.813 474.649 373.024
0 21.823 135.678 152.778
1 21.824 79.580 348.494
2 21.825 473.811 372.478
0 21.835 135.064 151.988
1 21.837 78.813 349.136
2 21.838 472.973 371.932
0 21.849 134.451 151.199
1 21.850 78.046 349.777
2 21.852 472.135 371.387
0 21.862 133.838 150.409
1 21.864 77.279 350.418
2 21.865 471.297 370.841
0 21.876 133.224 149.619
1 21.877 76.511 351.060
2 21.879 470.459 370.295
0 21.890 132.611 148.829
1 21.891 75.744 351.701
2 21.893 469.621 369.750
0 21.903 131.997 148.040
1 21.905 74.977 352.342
2 21.906 468.783 369.204
0 21.917 131.384 147.250
1 21.919 74.210 352.984
2 21.920 467.945 368.658
0 21.930 130.770 146.460
1 21.932 73.442 353.625
2 21.933 467.107 368.113
0 21.943 130.157 145.670
1 21.945 72.675 354.266
2 21.946 466.269 367.567
0 21.956 129.543 144.881
1 21.958 71.908 354.908
2 21.959 465.431 367.021
0 21.969 128.930 144.091
1 21.971 71.141 355.549
2 21.972 464.593 366.476
0 21.983 128.316 143.301
1 21.984 70.373 356.190
2 21.986 463.755 365.930
0 21.996 127.703 142.512
1 21.997 69.606 356.832
2 21.999 462.917 365.384
0 22.009 127.089 141.722
1 22.011 68.839 357.473
2 22.012 462.079 364.839
0 22.023 126.476 140.932
1 22.024 68.072 358.114
2 22.026 461.241 364.293
0 22.036 125.863 140.142
1 22.038 67.304 358.756
2 22.039 460.403 363.747
0 22.049 125.249 139.353
1 22.051 66.537 359.397
2 22.052 459.565 363.202
0 22.062 124.636 138.563
1 22.064 65.770 360.038
2 22.065 458.727 362.656
0 22.075 124.022 137.773
1 22.077 65.003 360.680
2 22.078 457.889 362.110
0 22.088 123.409 136.983
1 22.090 64.235 361.321
2 22.091 457.051 361.565
0 22.101 122.795 136.194
1 22.102 63.468 361.962
2 22.104 456.213 361.019
0 22.114 122.182 135.404
1 22.115 62.701 362.604
2 22.116 455.375 360.473
0 22.129 121.568 134.614
1 22.131 61.934 363.245
2 22.132 454.537 359.928
0 22.145 120.955 133.825
1 22.147 61.166 363.886
2 22.148 453.699 359.382
0 22.161 120.341 133.035
1 22.162 60.399 364.528
2 22.164 452.861 358.836
0 22.176 119.728 132.245
1 22.177 59.632 365.169
2 22.178 452.023 358.291
0 22.195 119.114 131.455
1 22.196 58.865 365.811
2 22.197 451.185 357.745
0 22.211 118.501 130.666
1 22.214 58.097 366.452
2 22.216 450.347 357.199
0 22.231 117.888 129.876
1 22.232 57.330 367.093
2 22.233 449.509 356.654
0 22.247 117.274 129.086
1 22.248 56.563 367.735
2 22.249 448.671 356.108
0 22.264 116.661 128.296
1 22.265 55.796 368.376
2 22.266 447.833 355.562
0 22.279 116.047 127.507
1 22.280 55.028 369.017
2 22.282 446.995 355.017
0 22.292 115.434 126.717
1 22.293 54.261 369.659
2 22.294 446.157 354.471
0 22.305 114.820 125.927
1 22.306 53.494 370.300
2 22.307 445.319 353.925
0 22.317 114.207 125.138
1 22.319 52.727 370.941
2 22.320 444.481 353.380
0 22.331 113.593 124.348
1 22.332 51.959 371.583
2 22.333 443.643 352.834
0 22.349 112.980 123.558
1 22.350 51.192 372.224
2 22.351 442.805 352.288
0 22.363 112.366 122.768
1 22.364 50.425 372.865
2 22.365 441.967 351.743
0 22.379 111.753 121.979
1 22.380 49.658 373.507
2 22.381 441.129 351.197
0 22.398 111.140 121.189
1 22.401 48.890 374.148
2 22.404 440.291 350.651
0 22.419 110.526 120.399
1 22.421 48.123 374.789
2 22.422 439.453 350.106
0 22.437 109.913 119.609
1 22.439 47.356 375.431
2 22.440 438.615 349.560
0 22.453 109.299 118.820
1 22.454 46.589 376.072
2 22.455 437.777 349.014
0 22.469 108.686 118.030
1 22.470 45.821 376.713
2 22.471 436.939 348.469
0 22.484 108.072 117.240
1 22.485 45.054 377.355
2 22.486 436.101 347.923
0 22.500 107.459 116.451
1 22.501 44.287 377.996
2 22.502 435.263 347.377
0 22.519 106.845 115.661
1 22.523 43.520 378.637
2 22.525 434.425 346.832
0 22.540 106.232 114.871
1 22.543 42.752 379.279
2 22.544 433.587 346.286
0 22.556 105.618 114.081
1 22.557 41.985 379.920
2 22.558 432.749 345.740
0 22.574 105.005 113.292
1 22.575 41.218 380.561
2 22.576 431.911 345.195
0 22.591 104.391 112.502
